"filename", "language", "C", "C++", "Java", "comment", "blank", "total"
"c:\cpp\cpp\洛谷刷题训练\5.3_集合 Subset Sums.cpp", "C++", 0, -27, 0, 0, -8, -35
"c:\cpp\cpp\洛谷刷题训练\5.4_矩形.cpp", "C++", 0, -42, 0, 0, -10, -52
"c:\cpp\cpp\牛客周赛\Round130_A_红美铃的访客登记.cpp", "C++", 0, -16, 0, 0, -5, -21
"c:\cpp\cpp\牛客周赛\Round130_B_爱丽丝的魔力零件分类.cpp", "C++", 0, -78, 0, 0, -16, -94
"c:\cpp\cpp\牛客周赛\Round131_C_Get The Sequence.cpp", "C++", 0, -60, 0, 0, -16, -76
"c:\cpp\cpp\牛客周赛\Round131_D_Longest Subsequence.cpp", "C++", 0, -60, 0, 0, -13, -73
"c:\cpp\cpp\牛客周赛\Round131_E_Eat The Candy.cpp", "C++", 0, -72, 0, 0, -18, -90
"c:\cpp\cpp\牛客周赛\Round132_A_ICPC Time.cpp", "C++", 0, -11, 0, 0, -4, -15
"c:\cpp\cpp\牛客周赛\Round132_B_倍数.cpp", "C++", 0, -54, 0, 0, -11, -65
"c:\cpp\cpp\牛客周赛\Round132_C_邻合.cpp", "C++", 0, -65, 0, -22, -17, -104
"c:\cpp\cpp\牛客周赛\Round132_D_对和.cpp", "C++", 0, -63, 0, 0, -12, -75
"c:\cpp\cpp\牛客周赛\Round132_E_镜像.cpp", "C++", 0, -93, 0, 0, -18, -111
"c:\cpp\cpp\牛客周赛\Round132_F_差异.cpp", "C++", 0, -76, 0, 0, -17, -93
"c:\cpp\cpp\牛客周赛\Round133_A_小红的闭合标签.cpp", "C++", 0, -21, 0, 0, -4, -25
"c:\cpp\cpp\牛客周赛\Round133_B_小红的众数.cpp", "C++", 0, -21, 0, 0, -5, -26
"c:\cpp\cpp\牛客周赛\Round133_C_小红的数字查找.cpp", "C++", 0, -29, 0, 0, -7, -36
"c:\cpp\cpp\牛客周赛\Round133_D_小红的异或分组.cpp", "C++", 0, -22, 0, 0, -5, -27
"c:\cpp\cpp\牛客周赛\Round133_E_小红的路径.cpp", "C++", 0, -151, 0, 0, -22, -173
"c:\cpp\cpp\牛客周赛\Round134_A_Nowcoder Weekly Contest.cpp", "C++", 0, -11, 0, 0, -2, -13
"c:\cpp\cpp\牛客周赛\Round134_B_CPC Medal.cpp", "C++", 0, -18, 0, 0, -6, -24
"c:\cpp\cpp\牛客周赛\Round134_C_Unique Number.cpp", "C++", 0, -24, 0, 0, -10, -34
"c:\cpp\cpp\牛客周赛\Round134_D_ Balanced Array.cpp", "C++", 0, -36, 0, 0, -9, -45
"c:\cpp\cpp\牛客周赛\Round134_E_Maximize The Sum.cpp", "C++", 0, -38, 0, 0, -7, -45
"c:\cpp\cpp\牛客周赛\Round134_F_Palindromic Value.cpp", "C++", 0, -51, 0, 0, -12, -63
"c:\cpp\cpp\牛客周赛\Round135_A_Add Three.cpp", "C++", 0, -14, 0, 0, -4, -18
"c:\cpp\cpp\牛客周赛\Round135_B_Maximize The Count.cpp", "C++", 0, -21, 0, 0, -4, -25
"c:\cpp\cpp\牛客周赛\Round135_C_Permutation Swapping.cpp", "C++", 0, -31, 0, 0, -3, -34
"c:\cpp\cpp\牛客周赛\Round135_D_Two Options.cpp", "C++", 0, -27, 0, 0, -5, -32
"c:\cpp\cpp\牛客周赛\Round135_E_Not Equal.cpp", "C++", 0, -39, 0, -1, -8, -48
"c:\cpp\cpp\牛客周赛\Round135_F_Alone.cpp", "C++", 0, -50, 0, 0, -10, -60
"c:\cpp\cpp\牛客周赛\Round136_A_小红的数组重排.cpp", "C++", 0, -9, 0, 0, -2, -11
"c:\cpp\cpp\牛客周赛\Round136_B_小红的回文串构造.cpp", "C++", 0, -88, 0, -1, -17, -106
"c:\cpp\cpp\牛客周赛\Round136_C_小红的排列.cpp", "C++", 0, -87, 0, -1, -20, -108
"c:\cpp\cpp\牛客周赛\Round136_D_小红的中位数.cpp", "C++", 0, -31, 0, 0, -5, -36
"c:\cpp\cpp\牛客周赛\Round136_E_小红的树上博弈.cpp", "C++", 0, -65, 0, 0, -14, -79
