Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 594 files,  24530 codes, 398 comments, 6216 blanks, all 31144 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        589 |     24,367 |        391 |      6,183 |     30,941 |
| Java     |          5 |        163 |          7 |         33 |        203 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\cpp\cpp\abc\459\459_D_Adjacent Distinct String.cpp              | C++      |         57 |          0 |         14 |         71 |
| c:\cpp\cpp\abc\460\460_A_Mod While Positive.cpp                    | C++      |         29 |          0 |          8 |         37 |
| c:\cpp\cpp\abc\460\460_B_Two Rings.cpp                             | C++      |         26 |          0 |          8 |         34 |
| c:\cpp\cpp\abc\460\460_C_Sushi.cpp                                 | C++      |         39 |          0 |          9 |         48 |
| c:\cpp\cpp\abc\460\460_D_Repeatedly Repainting.cpp                 | C++      |         66 |          0 |         11 |         77 |
| c:\cpp\cpp\abc\461\461_A_Armor.cpp                                 | C++      |         22 |          0 |          6 |         28 |
| c:\cpp\cpp\abc\461\461_B_The Honest Woodcutters.cpp                | C++      |         37 |          0 |          7 |         44 |
| c:\cpp\cpp\abc\461\461_C_Variety .cpp                              | C++      |         55 |          0 |         15 |         70 |
| c:\cpp\cpp\abc\461\461_D_Count Subgrid Sum = K.cpp                 | C++      |         54 |          0 |          9 |         63 |
| c:\cpp\cpp\杭电周赛\0001_最大的公约数.cpp                                    | C++      |         41 |          0 |          8 |         49 |
| c:\cpp\cpp\杭电周赛\0002_雪蜜冰城柠檬茶的神秘成分魔法.cpp                            | C++      |         77 |          0 |         10 |         87 |
| c:\cpp\cpp\杭电周赛\0003_杂草蔓延.cpp                                      | C++      |         22 |          0 |          3 |         25 |
| c:\cpp\cpp\杭电周赛\0007_最大三段和.cpp                                     | C++      |         39 |          0 |         11 |         50 |
| c:\cpp\cpp\杭电周赛\0009_临渊羡鱼.cpp                                      | C++      |         20 |          0 |          5 |         25 |
| c:\cpp\cpp\杭电周赛\0010_收买时间.cpp                                      | C++      |         85 |          1 |         23 |        109 |
| c:\cpp\cpp\杭电周赛\1005_大户爱的开根.cpp                                    | C++      |         48 |          0 |          9 |         57 |
| c:\cpp\cpp\杭电周赛\1006_巧克力工厂.cpp                                     | C++      |         39 |          0 |          9 |         48 |
| c:\cpp\cpp\杭电周赛\1008_大户爱的gcd.cpp                                   | C++      |         45 |          0 |          2 |         47 |
| c:\cpp\cpp\杭电周赛\1009_力的平衡.cpp                                      | C++      |         66 |          0 |         18 |         84 |
| c:\cpp\cpp\杭电周赛\2004_三途川畔.cpp                                      | C++      |         30 |          0 |          2 |         32 |
| c:\cpp\cpp\杭电周赛\2006_姐妹共读.cpp                                      | C++      |         31 |          0 |          2 |         33 |
| c:\cpp\cpp\杭电周赛\2008_古都茶叙.cpp                                      | C++      |         43 |          0 |          7 |         50 |
| c:\cpp\cpp\杭电周赛\2009_微缩庭园.cpp                                      | C++      |         22 |          0 |          2 |         24 |
| c:\cpp\cpp\杭电周赛\3001_河城杂货.cpp                                      | C++      |         54 |          0 |          9 |         63 |
| c:\cpp\cpp\杭电周赛\3003_3X3安全箱.cpp                                    | C++      |         51 |          0 |         11 |         62 |
| c:\cpp\cpp\杭电周赛\3004_式神契约论.cpp                                     | C++      |         30 |          0 |          5 |         35 |
| c:\cpp\cpp\杭电周赛\3007_扑克牌.cpp                                       | C++      |         41 |          0 |         10 |         51 |
| c:\cpp\cpp\杭电周赛\4004_左右脑互搏.cpp                                     | C++      |         47 |          5 |         12 |         64 |
| c:\cpp\cpp\杭电周赛\4007_Turn Of A Page.cpp                            | C++      |         28 |          0 |         10 |         38 |
| c:\cpp\cpp\杭电周赛\4008_谁输谁洗碗.cpp                                     | C++      |         56 |          0 |         12 |         68 |
| c:\cpp\cpp\杭电周赛\4010_Sort.cpp                                      | C++      |         46 |          0 |          9 |         55 |
| c:\cpp\cpp\杭电周赛\5003_马蹄疾.cpp                                       | C++      |         22 |          0 |          7 |         29 |
| c:\cpp\cpp\杭电周赛\5005_老骥伏枥.cpp                                      | C++      |         20 |          0 |          6 |         26 |
| c:\cpp\cpp\杭电周赛\6003_绩点查询.cpp                                      | C++      |         27 |          0 |         10 |         37 |
| c:\cpp\cpp\杭电周赛\6005_向量压缩.cpp                                      | C++      |         37 |          0 |         11 |         48 |
| c:\cpp\cpp\杭电周赛\6007_不开心世纪.cpp                                     | C++      |         46 |          0 |         12 |         58 |
| c:\cpp\cpp\杭电周赛\7002_Bingo.cpp                                     | C++      |         58 |          0 |         11 |         69 |
| c:\cpp\cpp\杭电周赛\7007_Bridge.cpp                                    | C++      |         77 |          0 |         16 |         93 |
| c:\cpp\cpp\杭电周赛\7008_Horse Racing.cpp                              | C++      |         55 |          0 |         15 |         70 |
| c:\cpp\cpp\杭电周赛\8003_疯狂的自我搜索者.cpp                                  | C++      |         28 |          0 |          7 |         35 |
| c:\cpp\cpp\杭电周赛\8005_笑容波状攻击.cpp                                    | C++      |         48 |          0 |         10 |         58 |
