Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 513 files,  1605 codes, 20 comments, 403 blanks, all 2028 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        509 |      1,605 |         20 |        403 |      2,028 |
| Java     |          4 |          0 |          0 |          0 |          0 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\cpp\cpp\abc\452_D_ No-Subsequence Substring.cpp             | C++      |        -48 |          0 |        -12 |        -60 |
| c:\cpp\cpp\abc\453\453_A_Trimo.cpp                             | C++      |         14 |          0 |          4 |         18 |
| c:\cpp\cpp\abc\453\453_B_Sensor Data Logging.cpp               | C++      |         26 |          0 |          8 |         34 |
| c:\cpp\cpp\abc\453\453_C_Sneaking Glances.cpp                  | C++      |         29 |          0 |          7 |         36 |
| c:\cpp\cpp\abc\453\453_D_Go Straight.cpp                       | C++      |         85 |          0 |         11 |         96 |
| c:\cpp\cpp\abc\453_A_Trimo.cpp                                 | C++      |        -14 |          0 |         -4 |        -18 |
| c:\cpp\cpp\abc\453_B_Sensor Data Logging.cpp                   | C++      |        -26 |          0 |         -8 |        -34 |
| c:\cpp\cpp\abc\453_C_Sneaking Glances.cpp                      | C++      |        -29 |          0 |         -7 |        -36 |
| c:\cpp\cpp\abc\453_D_Go Straight.cpp                           | C++      |        -85 |          0 |        -11 |        -96 |
| c:\cpp\cpp\abc\454\454_A_Closed interval.cpp                   | C++      |          9 |          0 |          3 |         12 |
| c:\cpp\cpp\abc\454\454_B_Mapping .cpp                          | C++      |         26 |          0 |          6 |         32 |
| c:\cpp\cpp\abc\454\454_C_Straw Millionaire.cpp                 | C++      |         33 |          0 |          7 |         40 |
| c:\cpp\cpp\abc\454\454_D_ (xx).cpp                             | C++      |         36 |          0 |          9 |         45 |
| c:\cpp\cpp\abc\454_A_Closed interval.cpp                       | C++      |         -9 |          0 |         -3 |        -12 |
| c:\cpp\cpp\abc\454_B_Mapping .cpp                              | C++      |        -26 |          0 |         -6 |        -32 |
| c:\cpp\cpp\abc\454_C_Straw Millionaire.cpp                     | C++      |        -33 |          0 |         -7 |        -40 |
| c:\cpp\cpp\abc\454_D_ (xx).cpp                                 | C++      |        -36 |          0 |         -9 |        -45 |
| c:\cpp\cpp\abc\455\455_A_455.cpp                               | C++      |         10 |          0 |          3 |         13 |
| c:\cpp\cpp\abc\455\455_B_Spiral Galaxy.cpp                     | C++      |         53 |          0 |         14 |         67 |
| c:\cpp\cpp\abc\455\455_C_Vanish .cpp                           | C++      |         39 |          0 |         13 |         52 |
| c:\cpp\cpp\abc\455\455_D_ Card Pile Query.cpp                  | C++      |         44 |          0 |         14 |         58 |
| c:\cpp\cpp\abc\455\455_E_ Unbalanced ABC Substrings.cpp        | C++      |         49 |          0 |         19 |         68 |
| c:\cpp\cpp\abc\455_A_455.cpp                                   | C++      |        -10 |          0 |         -3 |        -13 |
| c:\cpp\cpp\abc\455_B_Spiral Galaxy.cpp                         | C++      |        -53 |          0 |        -14 |        -67 |
| c:\cpp\cpp\abc\455_C_Vanish .cpp                               | C++      |        -39 |          0 |        -13 |        -52 |
| c:\cpp\cpp\abc\455_D_ Card Pile Query.cpp                      | C++      |        -44 |          0 |        -14 |        -58 |
| c:\cpp\cpp\abc\455_E_ Unbalanced ABC Substrings.cpp            | C++      |        -49 |          0 |        -19 |        -68 |
| c:\cpp\cpp\abc\456\456_A_Dice.cpp                              | C++      |          9 |          0 |          4 |         13 |
| c:\cpp\cpp\abc\456\456_B_456.cpp                               | C++      |         37 |          0 |          6 |         43 |
| c:\cpp\cpp\abc\456\456_C_ Not Adjacent.cpp                     | C++      |         32 |          0 |          9 |         41 |
| c:\cpp\cpp\abc\456\456_D_ Not Adjacent 2.cpp                   | C++      |         30 |          0 |          7 |         37 |
| c:\cpp\cpp\abc\456\456_E_ Endless Holidays.cpp                 | C++      |         60 |          0 |         16 |         76 |
| c:\cpp\cpp\abc\456_A_Dice.cpp                                  | C++      |         -9 |          0 |         -4 |        -13 |
| c:\cpp\cpp\abc\456_B_456.cpp                                   | C++      |        -37 |          0 |         -6 |        -43 |
| c:\cpp\cpp\abc\456_C_ Not Adjacent.cpp                         | C++      |        -32 |          0 |         -9 |        -41 |
| c:\cpp\cpp\abc\456_D_ Not Adjacent 2.cpp                       | C++      |        -30 |          0 |         -7 |        -37 |
| c:\cpp\cpp\abc\456_E_ Endless Holidays.cpp                     | C++      |        -60 |          0 |        -16 |        -76 |
| c:\cpp\cpp\abc\457\457_A_Array.cpp                             | C++      |         12 |          0 |          3 |         15 |
| c:\cpp\cpp\abc\457\457_B_ Arrays.cpp                           | C++      |         17 |          0 |          5 |         22 |
| c:\cpp\cpp\abc\457\457_C_ Long Sequence .cpp                   | C++      |         46 |          0 |         12 |         58 |
| c:\cpp\cpp\abc\457\457_D_Raise Minimum.cpp                     | C++      |         44 |          0 |         11 |         55 |
| c:\cpp\cpp\abc\457_A_Array.cpp                                 | C++      |        -12 |          0 |         -3 |        -15 |
